,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
F2,C,0.8364,0.816,0.8125,0.8726,0.7658,0.9156,0.9272,0.8999
Gmean,S,0.8752,0.8688,0.867,0.8889,0.8481,0.878,0.9117,0.879
B_Acc,V,0.8775,0.8732,0.8727,0.8904,0.8598,0.884,0.9136,0.8828
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8035,0.7536,0.7521,0.7693,0.7552,0.7426,0.752,0.7723
F1,S,0.7011,0.6708,0.6634,0.7215,0.6751,0.6954,0.6906,0.7128
F.5,39,0.6835,0.6144,0.6127,0.6356,0.6182,0.6072,0.6163,0.6376
F2,C,0.7227,0.7409,0.7267,0.8359,0.7476,0.8161,0.7878,0.8096
Gmean,S,0.7811,0.762,0.7547,0.8034,0.7644,0.7772,0.7764,0.7976
B_Acc,V,0.7867,0.7654,0.7593,0.8139,0.7694,0.7914,0.7839,0.8044
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.962885,0.9769,0.9783,0.9861,0.9752,0.9768,0.9675,0.9799
F1,S,0.630476,0.7264,0.7248,0.8829,0.7562,0.7848,0.6862,0.8086
F.5,40,0.700323,0.7784,0.7909,0.8899,0.8071,0.8282,0.7541,0.8461
F2,C,0.591317,0.6877,0.681,0.885,0.7271,0.7553,0.6443,0.7934
Gmean,S,0.735831,0.761,0.7565,0.9377,0.8294,0.8457,0.7757,0.8743
B_Acc,V,0.780943,0.8317,0.8283,0.9417,0.8542,0.8667,0.8068,0.8917
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9244,0.9123,0.9305,0.9396,0.935,0.9229,0.8291,0.9381
F1,S,0.1786,0.1445,0.3292,0.5811,0.4021,0.4116,0.4404,0.6168
F.5,41,0.2766,0.16,0.4249,0.622,0.4868,0.4515,0.3508,0.6364
F2,C,0.1326,0.1347,0.2733,0.555,0.3513,0.3918,0.6011,0.6113
Gmean,S,0.2363,0.219,0.4292,0.7141,0.492,0.5589,0.8174,0.7619
B_Acc,V,0.5534,0.5543,0.6176,0.7585,0.6568,0.6777,0.8247,0.7894
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9721,0.9663,0.9736,0.9751,0.9648,0.9736,0.9648,0.9707
F1,S,0.961,0.9525,0.9635,0.9654,0.9496,0.9638,0.9513,0.9597
F.5,42,0.9559,0.9525,0.9523,0.9556,0.953,0.9506,0.9409,0.9493
F2,C,0.9666,0.9532,0.9752,0.9759,0.9469,0.9778,0.9626,0.9711
Gmean,S,0.9716,0.9632,0.9758,0.9768,0.9599,0.9767,0.9659,0.9725
B_Acc,V,0.9718,0.9634,0.9759,0.977,0.9603,0.9768,0.9662,0.9727
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
