,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
F1,S,0.7187,0.7238,0.7174,0.7458,0.7638,0.7312,0.613,0.6725,0.6138
F.5,33,0.8193,0.8285,0.7909,0.8261,0.8271,0.8209,0.5177,0.5958,0.5188
F2,C,0.6469,0.6488,0.6617,0.6853,0.7137,0.6656,0.7532,0.784,0.7537
Gmean,S,0.7699,0.7708,0.781,0.7973,0.8165,0.7831,0.8426,0.8656,0.8427
B_Acc,V,0.7981,0.7991,0.8039,0.8176,0.8332,0.8076,0.8456,0.8695,0.845
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.956,0.956,0.9807,0.9807,0.9789,0.9737,0.9666,0.9807,0.9789
F1,S,0.932,0.9337,0.9734,0.973,0.9709,0.9624,0.9554,0.9734,0.9712
F.5,34,0.9654,0.9642,0.9806,0.9802,0.9767,0.9782,0.9525,0.9778,0.977
F2,C,0.9035,0.9072,0.9667,0.9664,0.9656,0.9477,0.9593,0.9694,0.9657
Gmean,S,0.9375,0.9393,0.9767,0.9765,0.9752,0.9655,0.9654,0.9776,0.9753
B_Acc,V,0.9418,0.9427,0.9771,0.977,0.9756,0.9665,0.9659,0.978,0.9756
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7153,0.7136,0.7154,0.7102,0.6467,0.674,0.5746,0.6568,0.6415
F1,S,0.07608,0.08496,0.2712,0.108,0.5952,0.5699,0.5637,0.5845,0.5947
F.5,35,0.1512,0.1615,0.374,0.1801,0.4943,0.4962,0.4522,0.4942,0.4916
F2,C,0.05107,0.0579,0.2171,0.07844,0.7484,0.67,0.7484,0.7161,0.753
Gmean,S,0.1698,0.1792,0.4069,0.2074,0.6996,0.6947,0.6338,0.6987,0.6965
B_Acc,V,0.5138,0.5143,0.5592,0.5178,0.7237,0.6996,0.6893,0.7126,0.7236
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
